Time sum_kwh count_users
19501 1380.366 1404
19503 1072.7 1404
19505 976.775 1404
19507 974.582 1404
19509 953.418 1404
19511 931.76 1404
19513 1051.388 1404
19515 1429.1 1404
19517 1836.798 1404
19519 2260.021 1404
19521 2435.627 1404
19523 2493.493 1404
19525 2599.635 1404
19527 2517.441 1404
19529 2483.057 1404
19531 2563.186 1404
19533 2732.246 1404
19535 2827.583 1404
19537 2620.46 1404
19539 2346.961 1404
19541 2172.295 1404
19543 2242.613 1404
19545 2301.46 1404
19547 1920.296 1404
19601 1423.79 1405
19603 1096.32 1405
19605 985.357 1405
19607 964.522 1405
19609 954.004 1405
19611 937.6320000000001 1405
19613 1087.917 1405
19615 1415.0049999999999 1405
19617 1948.311 1405
19619 2346.135 1405
19621 2458.45 1405
19623 2586.704 1405
19625 2615.742 1405
19627 2476.936 1405
19629 2366.657 1405
19631 2465.637 1405
19633 2594.258 1405
19635 2788.72 1405
19637 2572.531 1405
19639 2263.508 1405
19641 2092.555 1405
19643 2107.818 1405
19645 2247.281 1405
19647 1932.762 1405
19701 1434.587 1405
19703 1144.131 1405
19705 1021.305 1405
19707 992.836 1405
19709 997.249 1405
19711 961.759 1405
19713 1086.058 1405
19715 1424.797 1405
19717 1864.731 1405
19719 2184.02 1405
19721 2372.025 1405
19723 2422.455 1405
19725 2546.418 1405
19727 2450.168 1405
19729 2433.749 1405
19731 2433.3 1405
19733 2564.352 1405
19735 2684.527 1405
19737 2523.868 1405
19739 2341.142 1405
19741 2114.188 1405
19743 2119.252 1405
19745 2215.735 1405
19747 1874.306 1405
19801 1364.779 1405
19803 1083.739 1405
19805 969.644 1405
19807 933.549 1405
19809 943.695 1405
19811 970.0889999999999 1405
19813 1069.809 1405
19815 1376.759 1405
19817 1797.972 1405
19819 2261.922 1405
19821 2472.456 1405
19823 2543.2 1405
19825 2558.566 1405
19827 2512.684 1405
19829 2371.387 1405
19831 2345.276 1405
19833 2405.994 1405
19835 2529.989 1405
19837 2295.953 1405
19839 2208.398 1405
19841 2057.755 1405
19843 2090.399 1405
19845 2208.007 1405
19847 1940.0049999999999 1405
19901 1566.373 1405
19903 1216.239 1405
19905 1051.317 1405
19907 962.368 1405
19909 923.671 1405
19911 893.836 1405
19913 931.989 1405
19915 1096.848 1405
19917 1489.43 1405
19919 1984.932 1405
19921 2258.656 1405
19923 2350.153 1405
19925 2473.321 1405
19927 2323.534 1405
19929 2324.475 1405
19931 2219.282 1405
19933 2360.104 1405
19935 2406.522 1405
19937 2282.255 1405
