Time sum_kwh count_users
19501 854.423 976
19503 712.003 976
19505 630.705 976
19507 603.861 976
19509 608.939 976
19511 612.009 976
19513 781.764 976
19515 992.803 976
19517 1381.856 976
19519 1577.797 976
19521 1711.865 976
19523 1834.818 976
19525 1818.752 976
19527 1789.554 976
19529 1750.2169999999999 976
19531 1671.28 976
19533 1832.277 976
19535 2007.4950000000001 976
19537 1733.257 976
19539 1681.8609999999999 976
19541 1535.951 976
19543 1476.503 976
19545 1440.348 976
19547 1173.202 976
19601 860.548 976
19603 695.659 976
19605 640.68 976
19607 593.935 976
19609 600.33 976
19611 590.877 976
19613 738.261 976
19615 1074.776 976
19617 1316.095 976
19619 1524.87 976
19621 1694.733 976
19623 1723.263 976
19625 1797.536 976
19627 1724.711 976
19629 1671.89 976
19631 1701.73 976
19633 1787.492 976
19635 1912.235 976
19637 1746.782 976
19639 1548.238 976
19641 1419.53 976
19643 1393.904 976
19645 1425.865 976
19647 1184.966 976
19701 855.577 976
19703 678.264 976
19705 617.851 976
19707 596.201 976
19709 591.219 976
19711 580.665 976
19713 736.296 976
19715 1073.256 976
19717 1356.958 976
19719 1561.938 976
19721 1614.196 976
19723 1617.035 976
19725 1722.223 976
19727 1749.395 976
19729 1686.892 976
19731 1607.83 976
19733 1753.931 976
19735 1987.548 976
19737 1854.26 976
19739 1622.009 976
19741 1570.746 976
19743 1472.355 976
19745 1439.49 976
19747 1166.044 976
19801 874.208 976
19803 695.983 976
19805 624.127 976
19807 595.575 976
19809 592.298 976
19811 593.965 976
19813 761.527 976
19815 959.803 976
19817 1408.671 976
19819 1606.629 976
19821 1724.64 976
19823 1756.872 976
19825 1770.338 976
19827 1722.675 976
19829 1620.191 976
19831 1603.189 976
19833 1701.152 976
19835 1784.89 976
19837 1746.587 976
19839 1575.951 976
19841 1416.127 976
19843 1335.699 976
19845 1428.204 976
19847 1166.687 976
19901 950.543 976
19903 752.084 976
19905 643.404 976
19907 608.914 976
19909 602.099 976
19911 597.012 976
19913 652.357 976
19915 819.136 976
19917 1059.528 976
19919 1404.754 976
19921 1554.792 976
19923 1707.039 976
19925 1769.0240000000001 976
19927 1636.099 976
19929 1605.631 976
19931 1539.616 976
19933 1599.333 976
19935 1665.746 976
19937 1669.905 976
19939 1556.894 976
19941 1496.484 976
19943 1430.406 976
19945 1351.52 976
19947 1120.607 976
20001 894.991 976
20003 741.419 976
20005 644.909 976
20007 615.63 976
20009 604.654 976
20011 592.3149999999999 976
20013 612.08 976
20015 690.379 976
20017 847.7090000000001 976
20019 1145.976 976
20021 1403.366 976
20023 1581.83 976
20025 1671.223 976
20027 1571.867 976
20029 1455.184 976
20031 1397.521 976
20033 1355.039 976
20035 1394.821 976
20037 1388.67 976
20039 1384.647 976
20041 1385.704 976
20043 1299.3990000000001 976
20045 1329.756 976
20047 1126.579 976
20101 873.424 976
20103 673.864 976
20105 604.833 976
20107 581.037 976
20109 583.193 976
20111 587.044 976
20113 744.133 976
20115 959.724 976
20117 1299.247 976
20119 1532.0430000000001 976
20121 1681.499 976
20123 1749.673 976
20125 1823.067 976
20127 1744.3220000000001 976
20129 1675.9180000000001 976
20131 1700.27 976
20133 1785.769 976
20135 1888.266 976
20137 1749.654 976
20139 1539.862 976
20141 1388.521 976
20143 1440.323 976
20145 1493.765 976
20147 1187.854 976
20201 856.356 976
20203 680.095 976
20205 609.816 976
20207 584.398 976
20209 586.232 976
20211 603.308 976
20213 784.8100000000001 976
20215 986.839 976
20217 1400.147 976
20219 1582.497 976
20221 1751.586 976
20223 1802.839 976
20225 1822.282 976
20227 1731.228 976
20229 1687.451 976
20231 1678.003 976
20233 1772.767 976
20235 1926.76 976
20237 1742.132 976
20239 1587.734 976
20241 1502.409 976
20243 1445.789 976
20245 1472.405 976
20247 1193.088 976
20301 882.75 975
20303 695.417 975
20305 631.723 975
20307 586.175 975
20309 591.273 975
20311 584.87 975
20313 737.287 975
20315 1051.46 975
20317 1310.281 975
20319 1535.231 975
20321 1697.854 975
20323 1737.902 975
20325 1752.099 975
20327 1736.904 975
20329 1669.574 975
20331 1704.968 975
20333 1786.563 975
20335 1950.983 975
20337 1768.161 975
20339 1553.719 975
20341 1494.1200000000001 975
20343 1465.463 975
20345 1525.03 975
20347 1191.935 975
20401 866.166 975
20403 695.35 975
20405 638.024 975
20407 596.328 975
20409 583.358 975
20411 605.825 975
20413 777.369 975
20415 994.0 975
20417 1336.883 975
20419 1577.819 975
20421 1750.328 975
20423 1723.344 975
20425 1797.35 975
20427 1713.593 975
20429 1617.927 975
20431 1640.3410000000001 975
20433 1780.001 975
20435 1858.623 975
20437 1802.373 975
20439 1603.137 975
20441 1516.199 975
20443 1457.823 975
20445 1461.401 975
20447 1188.3220000000001 975
20501 890.699 975
20503 699.5360000000001 975
20505 646.807 975
20507 605.581 975
20509 590.28 975
20511 598.375 975
20513 777.732 975
20515 1003.917 975
20517 1324.641 975
20519 1595.812 975
20521 1769.986 975
20523 1781.678 975
20525 1768.873 975
20527 1795.297 975
20529 1672.348 975
20531 1689.576 975
20533 1696.72 975
20535 1805.164 975
20537 1805.145 975
20539 1585.112 975
20541 1498.215 975
20543 1405.117 975
20545 1377.811 975
