Time sum_kwh count_users
19501 864.374 979
19503 673.824 979
19505 577.919 979
19507 531.866 979
19509 539.533 979
19511 565.992 979
19513 670.299 979
19515 908.799 979
19517 1217.631 979
19519 1446.878 979
19521 1538.2450000000001 979
19523 1632.595 979
19525 1709.619 979
19527 1574.973 979
19529 1540.515 979
19531 1550.292 979
19533 1693.763 979
19535 1871.466 979
19537 1666.102 979
19539 1520.179 979
19541 1472.271 979
19543 1421.815 979
19545 1423.013 979
19547 1162.498 979
19601 865.425 979
19603 685.675 979
19605 581.14 979
19607 532.969 979
19609 547.561 979
19611 557.181 979
19613 637.135 979
19615 939.1 979
19617 1260.69 979
19619 1420.52 979
19621 1582.434 979
19623 1569.525 979
19625 1612.483 979
19627 1596.212 979
19629 1495.239 979
19631 1488.517 979
19633 1583.45 979
19635 1764.118 979
19637 1567.779 979
19639 1375.522 979
19641 1332.72 979
19643 1245.027 979
19645 1368.963 979
19647 1152.488 979
19701 859.704 979
19703 674.097 979
19705 559.858 979
19707 513.535 979
19709 518.526 979
19711 524.424 979
19713 648.038 979
19715 885.102 979
19717 1230.034 979
19719 1421.44 979
19721 1487.918 979
19723 1542.896 979
19725 1584.061 979
19727 1499.919 979
19729 1453.369 979
19731 1460.21 979
19733 1569.074 979
19735 1760.19 979
19737 1575.142 979
19739 1401.074 979
19741 1338.889 979
19743 1370.498 979
19745 1439.444 979
19747 1185.945 979
19801 888.905 978
19803 671.279 978
19805 589.318 978
19807 543.361 978
19809 527.69 978
19811 558.822 978
19813 621.925 978
19815 948.558 978
19817 1305.806 978
19819 1458.775 978
19821 1564.8990000000001 978
19823 1606.335 978
19825 1607.074 978
19827 1545.356 978
19829 1521.056 978
19831 1530.279 978
19833 1530.013 978
19835 1639.844 978
19837 1546.328 978
19839 1400.26 978
19841 1265.763 978
19843 1304.701 978
19845 1364.53 978
19847 1179.883 978
19901 933.448 978
19903 739.994 978
19905 635.902 978
19907 578.953 978
19909 546.785 978
19911 567.08 978
19913 612.866 978
19915 786.864 978
19917 965.03 978
19919 1228.673 978
19921 1488.48 978
19923 1510.147 978
19925 1557.871 978
19927 1428.423 978
19929 1402.698 978
19931 1378.6 978
19933 1354.297 978
19935 1549.91 978
19937 1483.124 978
19939 1460.878 978
19941 1332.654 978
19943 1290.336 978
19945 1231.567 978
19947 1090.749 978
20001 908.576 978
20003 731.524 978
20005 619.922 978
20007 564.12 978
20009 555.776 978
20011 540.084 978
20013 580.963 978
20015 677.301 978
20017 835.7139999999999 978
20019 1058.1009999999999 978
20021 1333.243 978
20023 1442.482 978
20025 1544.181 978
20027 1561.49 978
20029 1413.599 978
20031 1239.278 978
20033 1249.585 978
20035 1336.449 978
20037 1280.613 978
20039 1236.013 978
20041 1278.356 978
20043 1345.325 978
20045 1351.6200000000001 978
20047 1110.978 978
