mean_kwh day hour holiday 3_days_ago 4_days_ago 5_days_ago 6_days_ago 7_days_ago 8_days_ago
0.93489931604899 195 0 False 0.93489931604899 0.93489931604899 0.93489931604899 0.93489931604899 0.93489931604899 0.93489931604899
0.7407992683314776 195 1 False 0.7407992683314776 0.7407992683314776 0.7407992683314776 0.7407992683314776 0.7407992683314776 0.7407992683314776
0.6518549387625258 195 2 False 0.6518549387625258 0.6518549387625258 0.6518549387625258 0.6518549387625258 0.6518549387625258 0.6518549387625258
0.6219793224113249 195 3 False 0.6219793224113249 0.6219793224113249 0.6219793224113249 0.6219793224113249 0.6219793224113249 0.6219793224113249
0.6114774932400191 195 4 False 0.6114774932400191 0.6114774932400191 0.6114774932400191 0.6114774932400191 0.6114774932400191 0.6114774932400191
0.6274087800222682 195 5 False 0.6274087800222682 0.6274087800222682 0.6274087800222682 0.6274087800222682 0.6274087800222682 0.6274087800222682
0.7496448226499125 195 6 False 0.7496448226499125 0.7496448226499125 0.7496448226499125 0.7496448226499125 0.7496448226499125 0.7496448226499125
0.9969826626371878 195 7 False 0.9969826626371878 0.9969826626371878 0.9969826626371878 0.9969826626371878 0.9969826626371878 0.9969826626371878
1.3256985843804676 195 8 False 1.3256985843804676 1.3256985843804676 1.3256985843804676 1.3256985843804676 1.3256985843804676 1.3256985843804676
1.5878140607602989 195 9 False 1.5878140607602989 1.5878140607602989 1.5878140607602989 1.5878140607602989 1.5878140607602989 1.5878140607602989
1.722629553045968 195 10 False 1.722629553045968 1.722629553045968 1.722629553045968 1.722629553045968 1.722629553045968 1.722629553045968
1.7726010815969462 195 11 False 1.7726010815969462 1.7726010815969462 1.7726010815969462 1.7726010815969462 1.7726010815969462 1.7726010815969462
1.8217949737553685 195 12 False 1.8217949737553685 1.8217949737553685 1.8217949737553685 1.8217949737553685 1.8217949737553685 1.8217949737553685
1.7530106569110864 195 13 False 1.7530106569110864 1.7530106569110864 1.7530106569110864 1.7530106569110864 1.7530106569110864 1.7530106569110864
1.7192653093685384 195 14 False 1.7192653093685384 1.7192653093685384 1.7192653093685384 1.7192653093685384 1.7192653093685384 1.7192653093685384
1.7186879274693811 195 15 False 1.7186879274693811 1.7186879274693811 1.7186879274693811 1.7186879274693811 1.7186879274693811 1.7186879274693811
1.850279465563862 195 16 False 1.850279465563862 1.850279465563862 1.850279465563862 1.850279465563862 1.850279465563862 1.850279465563862
1.981481151582631 195 17 False 1.981481151582631 1.981481151582631 1.981481151582631 1.981481151582631 1.981481151582631 1.981481151582631
1.814189279465564 195 18 False 1.814189279465564 1.814189279465564 1.814189279465564 1.814189279465564 1.814189279465564 1.814189279465564
1.6548592333386354 195 19 False 1.6548592333386354 1.6548592333386354 1.6548592333386354 1.6548592333386354 1.6548592333386354 1.6548592333386354
1.527374900588516 195 20 False 1.527374900588516 1.527374900588516 1.527374900588516 1.527374900588516 1.527374900588516 1.527374900588516
1.5211208843645618 195 21 False 1.5211208843645618 1.5211208843645618 1.5211208843645618 1.5211208843645618 1.5211208843645618 1.5211208843645618
1.540791633529505 195 22 False 1.540791633529505 1.540791633529505 1.540791633529505 1.540791633529505 1.540791633529505 1.540791633529505
1.258993955781772 195 23 False 1.258993955781772 1.258993955781772 1.258993955781772 1.258993955781772 1.258993955781772 1.258993955781772
0.9405149491094148 196 0 False 0.9405149491094148 0.9405149491094148 0.9405149491094148 0.9405149491094148 0.9405149491094148 0.9405149491094148
0.7357468193384225 196 1 False 0.7357468193384225 0.7357468193384225 0.7357468193384225 0.7357468193384225 0.7357468193384225 0.7357468193384225
0.6524659669211196 196 2 False 0.6524659669211196 0.6524659669211196 0.6524659669211196 0.6524659669211196 0.6524659669211196 0.6524659669211196
0.6165329198473283 196 3 False 0.6165329198473283 0.6165329198473283 0.6165329198473283 0.6165329198473283 0.6165329198473283 0.6165329198473283
0.6123037531806617 196 4 False 0.6123037531806617 0.6123037531806617 0.6123037531806617 0.6123037531806617 0.6123037531806617 0.6123037531806617
0.6177312340966921 196 5 False 0.6177312340966921 0.6177312340966921 0.6177312340966921 0.6177312340966921 0.6177312340966921 0.6177312340966921
0.7397633587786259 196 6 False 0.7397633587786259 0.7397633587786259 0.7397633587786259 0.7397633587786259 0.7397633587786259 0.7397633587786259
1.021844465648855 196 7 False 1.021844465648855 1.021844465648855 1.021844465648855 1.021844465648855 1.021844465648855 1.021844465648855
1.3654737595419848 196 8 False 1.3654737595419848 1.3654737595419848 1.3654737595419848 1.3654737595419848 1.3654737595419848 1.3654737595419848
1.615428276081425 196 9 False 1.615428276081425 1.615428276081425 1.615428276081425 1.615428276081425 1.615428276081425 1.615428276081425
1.718559796437659 196 10 False 1.718559796437659 1.718559796437659 1.718559796437659 1.718559796437659 1.718559796437659 1.718559796437659
1.756619751908397 196 11 False 1.756619751908397 1.756619751908397 1.756619751908397 1.756619751908397 1.756619751908397 1.756619751908397
1.8031612595419848 196 12 False 1.8031612595419848 1.8031612595419848 1.8031612595419848 1.8031612595419848 1.8031612595419848 1.8031612595419848
1.7270459605597963 196 13 False 1.7270459605597963 1.7270459605597963 1.7270459605597963 1.7270459605597963 1.7270459605597963 1.7270459605597963
1.655651876590331 196 14 False 1.655651876590331 1.655651876590331 1.655651876590331 1.655651876590331 1.655651876590331 1.655651876590331
1.6707935750636134 196 15 False 1.6707935750636134 1.6707935750636134 1.6707935750636134 1.6707935750636134 1.6707935750636134 1.6707935750636134
1.7603223600508904 196 16 False 1.7603223600508904 1.7603223600508904 1.7603223600508904 1.7603223600508904 1.7603223600508904 1.7603223600508904
1.886701017811705 196 17 False 1.886701017811705 1.886701017811705 1.886701017811705 1.886701017811705 1.886701017811705 1.886701017811705
1.7464996819338423 196 18 False 1.7464996819338423 1.7464996819338423 1.7464996819338423 1.7464996819338423 1.7464996819338423 1.7464996819338423
1.5441614185750636 196 19 False 1.5441614185750636 1.5441614185750636 1.5441614185750636 1.5441614185750636 1.5441614185750636 1.5441614185750636
1.4252773536895675 196 20 False 1.4252773536895675 1.4252773536895675 1.4252773536895675 1.4252773536895675 1.4252773536895675 1.4252773536895675
1.4135505725190838 196 21 False 1.4135505725190838 1.4135505725190838 1.4135505725190838 1.4135505725190838 1.4135505725190838 1.4135505725190838
1.5137523854961832 196 22 False 1.5137523854961832 1.5137523854961832 1.5137523854961832 1.5137523854961832 1.5137523854961832 1.5137523854961832
1.26791618956743 196 23 False 1.26791618956743 1.26791618956743 1.26791618956743 1.26791618956743 1.26791618956743 1.26791618956743
0.955816823024328 197 0 False 0.955816823024328 0.955816823024328 0.955816823024328 0.955816823024328 0.955816823024328 0.955816823024328
0.7513102242009858 197 1 False 0.7513102242009858 0.7513102242009858 0.7513102242009858 0.7513102242009858 0.7513102242009858 0.7513102242009858
0.6603390046112259 197 2 False 0.6603390046112259 0.6603390046112259 0.6603390046112259 0.6603390046112259 0.6603390046112259 0.6603390046112259
0.6232968675465097 197 3 False 0.6232968675465097 0.6232968675465097 0.6232968675465097 0.6232968675465097 0.6232968675465097 0.6232968675465097
0.6119597710287804 197 4 False 0.6119597710287804 0.6119597710287804 0.6119597710287804 0.6119597710287804 0.6119597710287804 0.6119597710287804
0.6155708379710606 197 5 False 0.6155708379710606 0.6155708379710606 0.6155708379710606 0.6155708379710606 0.6155708379710606 0.6155708379710606
0.7347597392272222 197 6 False 0.7347597392272222 0.7347597392272222 0.7347597392272222 0.7347597392272222 0.7347597392272222 0.7347597392272222
1.0128085546191763 197 7 False 1.0128085546191763 1.0128085546191763 1.0128085546191763 1.0128085546191763 1.0128085546191763 1.0128085546191763
1.3551854030847512 197 8 False 1.3551854030847512 1.3551854030847512 1.3551854030847512 1.3551854030847512 1.3551854030847512 1.3551854030847512
1.5899960248052156 197 9 False 1.5899960248052156 1.5899960248052156 1.5899960248052156 1.5899960248052156 1.5899960248052156 1.5899960248052156
